"Id","Code","Name","ProvinceCode","Diaspora","Order"
"354","3030","wrzesiński","30","FALSE","354"
"355","3031","złotowski","30","FALSE","355"
"356","3061","Kalisz","30","FALSE","356"
"357","3062","Konin","30","FALSE","357"
"358","3063","Leszno","30","FALSE","358"
"359","3064","Poznań","30","FALSE","359"
"360","3201","białogardzki","32","FALSE","360"
"361","3202","choszczeński","32","FALSE","361"
"362","3203","drawski","32","FALSE","362"
"363","3204","goleniowski","32","FALSE","363"
"364","3205","gryficki","32","FALSE","364"
"365","3206","gryfiński","32","FALSE","365"
"366","3207","kamieński","32","FALSE","366"
"367","3208","kołobrzeski","32","FALSE","367"
"368","3209","koszaliński","32","FALSE","368"
"369","3210","myśliborski","32","FALSE","369"
"370","3211","policki","32","FALSE","370"
"371","3212","pyrzycki","32","FALSE","371"
"372","3213","sławieński","32","FALSE","372"
"373","3214","stargardzki","32","FALSE","373"
"374","3215","szczecinecki","32","FALSE","374"
"375","3216","świdwiński","32","FALSE","375"
"376","3217","wałecki","32","FALSE","376"
"377","3218","łobeski","32","FALSE","377"
"378","3261","Koszalin","32","FALSE","378"
"379","3262","Szczecin","32","FALSE","379"
"380","3263","Świnoujście","32","FALSE","380"
